Requested URL, Final URL, Accessibility Score, Content Width, Tap Targets, User Agent
https://i14y.usa.gov/,https://i14y.usa.gov/,,,,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://autoauctions.gsa.gov/,https://autoauctions.gsa.gov/,,,,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://wdolhome.sam.gov/,https://wdol.gov/,1,1,1,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://crissupb.identitysandbox.gov/,https://crissupb.identitysandbox.gov/,,,,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://portal.eos.gsa.gov/secureauth6/secureportal.aspx,https://portal.eos.gsa.gov/,0.64,1,0.45,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://federalist-proxy.app.cloud.gov/,https://federalist-proxy.app.cloud.gov/,,,,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://beta.sam.gov/,https://beta.sam.gov/,,,,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://www.dhsadvantage.gsa.gov/advantage/?store=DHS&theme=adv19,https://dhsadvantage.gsa.gov/,0.94,1,1,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://ci.identitysandbox.gov/,https://ci.identitysandbox.gov/,,,,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://partners.login.gov/,https://partners.login.gov/,1,1,1,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://scopereview.gsa.gov/app/,https://scopereview.gsa.gov/,0.74,1,1,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://itjobs.open.gsa.gov/,https://itjobs.open.gsa.gov/,,,,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://files.18f.gov/,https://files.18f.gov/,,,,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://amp.fas.gsa.gov/,https://amp.fas.gsa.gov/,0.5,0,0,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://www.facadatabase.gov/FACA/FACAPublicPage?sfdcIFrameOrigin=null,https://facadatabase.gov/,0.93,1,0,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
https://www.frpg.gov/FRPG/FRPGLogin?sfdcIFrameOrigin=null,https://frpg.gov/,1,1,0.76,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4695.0 Mobile Safari/537.36 Chrome-Lighthouse
